scheduler,code,q,columns,layers,qubits,volume,idle,sec,floor,best_cols,q_rel,cols_rel,collapsed_to_serial,n_methods,common,q_n,cols_n,q_lo,q_hi,c_lo,c_hi
greedy,"[[21,2,6]]",59,46,42,59,2566.0,148.0,20.7,43,28,1.372093023255814,1.6428571428571428,False,3,True,0.2909090909090909,0.15209125475285143,43,98,28,146.35000000000022
greedy,"[[21,2,6]]",60,45,41,60,2544.0,156.0,20.1,43,28,1.3953488372093024,1.6071428571428572,False,3,True,0.3090909090909091,0.14364174059991525,43,98,28,146.35000000000022
greedy,"[[21,2,6]]",61,45,41,60,2544.0,201.0,20.1,43,28,1.4186046511627908,1.6071428571428572,False,3,True,0.32727272727272727,0.14364174059991525,43,98,28,146.35000000000022
greedy,"[[21,2,6]]",62,45,41,60,2544.0,246.0,20.0,43,28,1.441860465116279,1.6071428571428572,False,3,True,0.34545454545454546,0.14364174059991525,43,98,28,146.35000000000022
greedy,"[[21,2,6]]",63,44,40,63,2563.0,209.0,19.3,43,28,1.4651162790697674,1.5714285714285714,False,3,True,0.36363636363636365,0.13519222644697904,43,98,28,146.35000000000022
greedy,"[[21,2,6]]",64,43,39,64,2543.0,209.0,18.7,43,28,1.4883720930232558,1.5357142857142858,False,3,True,0.38181818181818183,0.12674271229404285,43,98,28,146.35000000000022
greedy,"[[21,2,6]]",65,41,37,65,2474.0,191.0,18.1,43,28,1.5116279069767442,1.4642857142857142,False,3,True,0.4,0.10984368398817047,43,98,28,146.35000000000022
greedy,"[[21,2,6]]",66,41,37,65,2474.0,232.0,18.0,43,28,1.5348837209302326,1.4642857142857142,False,3,True,0.41818181818181815,0.10984368398817047,43,98,28,146.35000000000022
greedy,"[[21,2,6]]",67,40,36,67,2500.0,180.0,25.5,43,28,1.558139534883721,1.4285714285714286,False,3,True,0.43636363636363634,0.10139416983523429,43,98,28,146.35000000000022
greedy,"[[21,2,6]]",68,40,36,67,2500.0,220.0,24.8,43,28,1.5813953488372092,1.4285714285714286,False,3,True,0.45454545454545453,0.10139416983523429,43,98,28,146.35000000000022
